category	type	value	comment	attribute_tag
Network activity	ip-dst	100.43.220.234	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	96.80.68.193	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	188.152.254.170	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	208.81.37.50	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	70.62.153.174	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	2.230.110.137	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	90.63.245.175	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	212.103.208.182	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	50.255.126.65	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	78.134.89.167	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	81.4.177.118	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	24.199.247.222	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	37.99.163.162	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	37.71.147.186	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	105.159.248.137	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	80.155.38.210	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	217.57.80.18	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	151.0.169.250	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	212.202.147.10	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	212.234.179.113	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	185.82.169.99	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	93.51.177.66	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	80.15.113.188	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	80.153.75.103	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Network activity	ip-dst	109.192.30.125	C2	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	md5	3f22c0aeb1eec4350868368ea1cc798c	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha1	438cd40caca70cafe5ca436b36ef7d3a6321e858	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha256	ff17ccd8c96059461710711fcc8372cfea5f0f9eb566ceb6ab709ea871190dc6	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	md5	3c9d46dc4e664e20f1a7256e14a33766	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha1	7d61c0dd0cd901221a9dff9df09bb90810754f10	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha256	4e69bbb61329ace36fbe62f9fb6ca49c37e2e5a5293545c44d155641934e39d1	Cyclops Blink embedded ELF - Linux ELF PowerPC big-endian	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	md5	bbb76de7654337fb6c2e851d106cebc7	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha1	c59bc17659daca1b1ce65b6af077f86a648ad8a8	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha256	c082a9117294fa4880d75a2625cf80f63c8bb159b54a7151553969541ac35862	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	md5	d01e2c2e8df92edeb8298c55211bc4b6	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha1	3adf9a59743bc5d8399f67cab5eb2daf28b9b863	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
Payload delivery	sha256	50df5734dd0c6c5983c21278f119527f9fdf6ef1d7e808a29754ebc5253e9a86	Cyclops Blink - Linux ELF PowerPC big-endian. The size corresponds to the  complete file, but the hash values correspond to the executable code  segment only.	"misp-galaxy:tgc-actors=""Sandworm Team, Iron Viking, Voodoo Bear"",Cyclops Blink"
